relative_path,dataset,extension,bytes,modified_ns,sha256
Owners Association Service Charges/Owners_Association_Service_Charges_2026-09-04_attribute-details.xlsx,Owners Association Service Charges,.xlsx,23602,1788523757630532300,3ce1498c305b7bff3d3571ecfa1eb88723dfb10535b16cbf36e03605c7f5a40e
Property Map Requests/map_requests_2026-09-03_17-33-09_0001.csv,Property Map Requests,.csv,260688096,1788522452795511800,db2b5bfed818c43f26d93b914b0fa36051e655c81adad8137123029a19663102
Property Map Requests/Property_Map_Requests_2026-09-04_attribute-details.xlsx,Property Map Requests,.xlsx,21826,1788522440108359100,97a0fbf4c660ee84551b7eba30fd26d5eb56cc5c2259483dcbf4901aa3db70fb
Property Valuation Records/Property_Valuation_Records_2026-09-04_attribute-details.xlsx,Property Valuation Records,.xlsx,22981,1788518066596975400,1576391090c3c963c6d606e4831940d5a674aafb5ebf66503a374412605aea92
Property Valuation Records/valuation_2026-09-03_18-29-43_0001.csv,Property Valuation Records,.csv,24677413,1788518098732905000,59c6096f73791a302514456ebdb1840604d2749572fcdf4d310bece1ae10288a
Real Estate Brokers/brokers_2026-07-03_10-31-51_0001.csv,Real Estate Brokers,.csv,1760584,1788523634924145000,21ce681cf1c2f41d0af21e437ee36886e41c255eb8beddeec1e87bba0353cea9
Real Estate Brokers/Real_Estate_Brokers_2026-09-04_attribute-details.xlsx,Real Estate Brokers,.xlsx,20590,1788523630027229000,820240d49656cd7e6e66674b42d3734f4594f0bf7590fd6e2af610073dec6ab3
Real Estate Licenses/real_estate_licenses_2026-09-03_17-31-32_0001.csv,Real Estate Licenses,.csv,1336587,1788522672390855100,8f6b09b4c91c4dc578fd774d57a7263b4096c4057583906b00dbcd558ef026c0
Real Estate Licenses/Real_Estate_Licenses_2026-09-04_attribute-details.xlsx,Real Estate Licenses,.xlsx,24320,1788522663941310000,0ef47546c9ea699ede817ead86285801683e6197ada2173fdfb1a03a98886d1c
Real Estate Offices/offices_2026-09-01_17-56-00_0001.csv,Real Estate Offices,.csv,1581074,1788523067108296600,c487357f1a4cf0fcfe6a1e382329f8214131f9cb36a91b034782188e1d8e64ec
Real Estate Offices/Real_Estate_Offices_2026-09-04_attribute-details.xlsx,Real Estate Offices,.xlsx,22398,1788523059850810100,b13f9caea3748ed9191913d0541528da5aef7118f9727d5c88bbb4bed799eda0
Real Estate Permits/real_estate_permits_2026-09-03_17-32-35_0001.csv,Real Estate Permits,.csv,55273436,1788522964565572000,4574232f832b3e71a9b18bf9cb9efceb6a36d05240f75f0ae7baafaed905369d
Real Estate Permits/Real_Estate_Permits_2026-09-04_attribute-details.xlsx,Real Estate Permits,.xlsx,23697,1788522952351719600,4d5c68431b6a9637e76582fc4fbba0e7d3cc321f866271d7b10b3ef5d88fea99
Real Estate Projects/projects_2026-07-06_16-25-21_0001.csv,Real Estate Projects,.csv,2473575,1788523457809239300,ffee59d637b1383e62ea24dab5be77e957090abf3860ce26b00b873fbdda6078
Real Estate Projects/Real_Estate_Projects_2026-09-04_attribute-details.xlsx,Real Estate Projects,.xlsx,30179,1788523453322505000,a540de44d6e5250414685873c7cabcb3ba1e601c5b2390497828d78cb5c65779
Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Real Estate Transactions,.xlsx,33837,1788522527261794000,9cfadabf0e2acbea19f251448d3a982e5491fccac8194f68bf05bd2c0c6579a9
Real Estate Transactions/transactions_2026-09-03_17-35-02_0001.csv,Real Estate Transactions,.csv,569687278,1788522600292516700,b329c36956aaaf546cef6e3d30ba344c37f3d20de51d6038c8aac07799289a99
Real Estate Transactions/transactions_2026-09-03_17-35-02_0002.csv,Real Estate Transactions,.csv,569382800,1788522606291773500,e73849645b30a410691cb23eb150c1b86cc2fb207e8a713cd3a58437f5199d47
Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Registered Freehold Real Estate Units,.xlsx,31957,1788518118251902400,b3d2fc4af4fee9982f70fb3419776c566155ced320e64332d14ebca931fa7d89
Registered Freehold Real Estate Units/units_2026-09-03_18-33-31_0001.csv,Registered Freehold Real Estate Units,.csv,332709057,1788517714475445100,f70252e7f05c20e7ba447f7548497242b10e306c4d6dbfd60575a5077d823c6b
Registered Freehold Real Estate Units/units_2026-09-03_18-33-31_0002.csv,Registered Freehold Real Estate Units,.csv,333027758,1788517831196392200,0a6df8963e745abc540eb520e32febe0e5446348f87763c4a5db2490ee574fb1
Registered Freehold Real Estate Units/units_2026-09-03_18-33-31_0003.csv,Registered Freehold Real Estate Units,.csv,332928797,1788517888604006100,136faad432a2cc91ad9afb8bbde0d99452b371ce1425f72697dfc150aa06e470
Rent Contracts/rent_contracts_2026-09-03_17-50-12_0001.csv,Rent Contracts,.csv,531526014,1788521991885925900,16a9d6141e0feafc5314a4bafc48aaca4b9879ac66c22ec87d739a455e72d145
Rent Contracts/rent_contracts_2026-09-03_17-50-12_0002.csv,Rent Contracts,.csv,531504667,1788522202463147900,97266338546447aa72cb7c2ed6cc0dd0878f9766a586eaed01511277bdc293e3
Rent Contracts/rent_contracts_2026-09-03_17-50-12_0003.csv,Rent Contracts,.csv,531554496,1788522235828277000,2cc77cb5e8dc5206857fd6f04d934305331992ed903ecfcc0e16477f34d8f264
Rent Contracts/rent_contracts_2026-09-03_17-50-12_0004.csv,Rent Contracts,.csv,531535652,1788522232950492200,f769b122821180f9e92609e794546c21085d63004b42d88ee6990b024f88199d
Rent Contracts/rent_contracts_2026-09-03_17-50-12_0005.csv,Rent Contracts,.csv,531514464,1788522256053325800,1210ddfd158329592916769ae290e402011f64c5073a3494f95c49d2c8b8f53c
Rent Contracts/rent_contracts_2026-09-03_17-50-12_0006.csv,Rent Contracts,.csv,531549982,1788522267531722700,29a25f04059a0462bcc8910004e6d0d5b337c824981f9f91cb3352db6d8b4213
Rent Contracts/rent_contracts_2026-09-03_17-50-12_0007.csv,Rent Contracts,.csv,531450110,1788522274594884800,5e27b9379ef2654bacc14bca673909001ba11c92f31d995c3d20177a0e245d61
Rent Contracts/rent_contracts_2026-09-03_17-50-12_0008.csv,Rent Contracts,.csv,531465217,1788522336091314000,9871a3b8fef2231667f953261cd621bddad95b9994ea0aeb2937ca2db9ef1d5d
Rent Contracts/rent_contracts_2026-09-03_17-50-12_0009.csv,Rent Contracts,.csv,531554231,1788522339029887800,8c7b87e983f345fa8ebb13539643c6711d58b3f83d5cb61dd4f3c65cf1a52834
Rent Contracts/rent_contracts_2026-09-03_17-50-12_0010.csv,Rent Contracts,.csv,531415992,1788522346621617600,6c1e8761f45b2aaad37bbeec20ab2049bb3afe0b0240fb88204da7e28db2d173
Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Rent Contracts,.xlsx,31169,1788521926903859000,f0a7c8f470fadb48fbd933ea28a16ede74413aaa60e72951334e22aa39a830d0
Residential Sale Index/residential_sale_index_2026-09-01_18-28-58_0001.csv,Residential Sale Index,.csv,22827,1788523049966319000,88e60eba6fd44d700760cdd031d1a0e66834568ef3b756c0337bc0da5cb3217c
Residential Sale Index/Residential_Sale_Index_2026-09-04_attribute-details.xlsx,Residential Sale Index,.xlsx,23808,1788523044767055900,bed87fda69163376e158778a222ab81aff4c9d1154f2aa2350a6c1ebabf2a88d
