dataset,table,ordinal,field,rows,null_rows,null_percent,approx_distinct,min_length,max_length,dictionary_present,declared_data_type,declared_primary_key
Developers Recorded in Dubai Land Department,developers,2,developer_id,2348,0,0.0,2840,1,9,True,NUMBER(10),True
Developers Recorded in Dubai Land Department,developers,3,developer_name_ar,2348,0,0.0,2736,10,107,True,NVARCHAR2(200),False
Developers Recorded in Dubai Land Department,developers,4,developer_name_en,2348,0,0.0,2765,7,125,True,NVARCHAR2(200),False
Developers Recorded in Dubai Land Department,developers,5,developer_number,2348,0,0.0,2186,4,7,True,NUMBER,False
Developers Recorded in Dubai Land Department,developers,6,fax,2348,1326,56.473595,796,1,20,True,NVARCHAR2(50),False
Developers Recorded in Dubai Land Department,developers,7,legal_status,2348,1247,53.109029,6,4,10,True,NUMBER,False
Developers Recorded in Dubai Land Department,developers,8,legal_status_ar,2348,1377,58.645656,5,9,15,True,NVARCHAR2(100),False
Developers Recorded in Dubai Land Department,developers,9,legal_status_en,2348,1377,58.645656,5,8,22,True,NVARCHAR2(100),False
Developers Recorded in Dubai Land Department,developers,10,license_expiry_date,2348,139,5.919932,1057,10,10,True,DATE (DD-MM-YYYY),False
Developers Recorded in Dubai Land Department,developers,11,license_issue_date,2348,160,6.81431,1626,10,10,True,DATE (DD-MM-YYYY),False
Developers Recorded in Dubai Land Department,developers,12,license_number,2348,75,3.194208,1925,1,20,True,NVARCHAR2(50),False
Developers Recorded in Dubai Land Department,developers,13,license_source_ar,2348,1383,58.901193,18,4,56,True,NVARCHAR2(200),False
Developers Recorded in Dubai Land Department,developers,14,license_source_en,2348,1383,58.901193,16,3,49,True,NVARCHAR2(200),False
Developers Recorded in Dubai Land Department,developers,15,license_source_id,2348,1383,58.901193,20,1,2,True,NUMBER(10),False
Developers Recorded in Dubai Land Department,developers,16,license_type_ar,2348,554,23.594549,9,5,18,True,NVARCHAR2(100),False
Developers Recorded in Dubai Land Department,developers,17,license_type_en,2348,554,23.594549,10,8,15,True,NVARCHAR2(100),False
Developers Recorded in Dubai Land Department,developers,18,license_type_id,2348,532,22.657581,11,1,7,True,NUMBER(10),False
Developers Recorded in Dubai Land Department,developers,19,participant_id,2348,0,0.0,2127,6,9,True,NUMBER(10),False
Developers Recorded in Dubai Land Department,developers,20,phone,2348,1072,45.655877,1158,1,21,True,NVARCHAR2(50),False
Developers Recorded in Dubai Land Department,developers,21,registration_date,2348,13,0.553663,1262,10,10,True,DATE (DD-MM-YYYY),False
Developers Recorded in Dubai Land Department,developers,22,webpage,2348,1626,69.250426,421,1,55,True,NVARCHAR2(100),False
Developers Recorded in Dubai Land Department,developers,23,load_timestamp,2348,0,0.0,1,23,23,False,,False
Elders and People of Determination,elders_people_of_determination,1,average_service_time,6120,0,0.0,18,7,7,True,VARCHAR2,False
Elders and People of Determination,elders_people_of_determination,2,average_wating_time,6120,0,0.0,15,7,7,True,VARCHAR2,False
Elders and People of Determination,elders_people_of_determination,3,percent_service_time_in_target,6120,0,0.0,9,1,3,True,NUMERIC,False
Elders and People of Determination,elders_people_of_determination,4,percent_waiting_time_in_target,6120,0,0.0,5,1,3,True,NUMERIC,False
Elders and People of Determination,elders_people_of_determination,5,service_location_ar,6120,0,0.0,1,22,22,True,NVARCHAR2,False
Elders and People of Determination,elders_people_of_determination,6,service_location_en,6120,0,0.0,1,21,21,True,NVARCHAR2,False
Elders and People of Determination,elders_people_of_determination,7,service_month,6120,0,0.0,4,1,1,True,NUMBER,True
Elders and People of Determination,elders_people_of_determination,8,service_name_ar,6120,0,0.0,20,10,33,True,VARCHAR2,False
Elders and People of Determination,elders_people_of_determination,9,service_name_en,6120,0,0.0,20,8,52,True,NVARCHAR2,False
Elders and People of Determination,elders_people_of_determination,10,service_year,6120,0,0.0,1,4,4,True,NUMBER,True
Elders and People of Determination,elders_people_of_determination,11,target_service_time,6120,0,0.0,1,4,4,True,VARCHAR2,False
