dataset,workbook,sheet,ordinal,field,description,declared_primary_key,declared_size,declared_data_type,range_of_values,source_classification,language,declared_foreign_key
Real Estate Projects,Real Estate Projects/Real_Estate_Projects_2026-09-04_attribute-details.xlsx,Sheet1,26,area_id,Number generated through the system,False,10,NUMBER(10),-,Open,English,False
Real Estate Projects,Real Estate Projects/Real_Estate_Projects_2026-09-04_attribute-details.xlsx,Sheet1,27,area_name_ar,The name of the area on which the project in Arabic,False,200,NVARCHAR2(200),-,Open,English,False
Real Estate Projects,Real Estate Projects/Real_Estate_Projects_2026-09-04_attribute-details.xlsx,Sheet1,28,area_name_en,The name of the area on which the project in English,False,200,NVARCHAR2(200),-,Open,English,False
Real Estate Projects,Real Estate Projects/Real_Estate_Projects_2026-09-04_attribute-details.xlsx,Sheet1,29,master_project_ar,name of the project's master developer in Arabic,False,200,nvarchar,-,Open,Arabic,False
Real Estate Projects,Real Estate Projects/Real_Estate_Projects_2026-09-04_attribute-details.xlsx,Sheet1,30,master_project_en,name of the project's master developer in English,False,200,nvarchar,-,Open,English,False
Real Estate Projects,Real Estate Projects/Real_Estate_Projects_2026-09-04_attribute-details.xlsx,Sheet1,31,no_of_lands,Number of project lands other than the main land,False,10,numeric,-,Open,English,False
Real Estate Projects,Real Estate Projects/Real_Estate_Projects_2026-09-04_attribute-details.xlsx,Sheet1,32,no_of_units,number of project units,False,10,numeric,-,-,English,False
Real Estate Projects,Real Estate Projects/Real_Estate_Projects_2026-09-04_attribute-details.xlsx,Sheet1,33,no_of_buildings,Number of project buildings,False,10,numeric,-,Open,English,False
Real Estate Projects,Real Estate Projects/Real_Estate_Projects_2026-09-04_attribute-details.xlsx,Sheet1,34,no_of_villas,Number of project villas,False,10,numeric,-,Open,English,False
Real Estate Projects,Real Estate Projects/Real_Estate_Projects_2026-09-04_attribute-details.xlsx,Sheet1,35,zoning_authority_ar,parcel zoning authority Arabic name,False,200,nvarchar,-,Open,Arabic,False
Real Estate Projects,Real Estate Projects/Real_Estate_Projects_2026-09-04_attribute-details.xlsx,Sheet1,36,zoning_authority_en,parcel zoning authority English name,False,200,nvarchar,-,Open,English,False
Real Estate Projects,Real Estate Projects/Real_Estate_Projects_2026-09-04_attribute-details.xlsx,Sheet1,37,zoning_authority_id,parcel zoning authority ID,False,10,numeric,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,1,no_of_parties_role_3,"number of transaction's parties of third role (lessee , usufrutor .. Etc )",False,3,number,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,2,no_of_parties_role_2,"number of transaction's parties of second role (buyer , mortgagee .. Etc )",False,3,number,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,3,no_of_parties_role_1,"number of transaction's parties with first role (seller , mortgagor .. Etc )",False,3,number,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,4,meter_rent_price,the mortgage price per meter in lease to own procedures,False,-,number,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,5,rent_value,the mortgage value in lease to own procedures,False,-,number,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,6,meter_sale_price,meter price in the transaction,False,-,number,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,7,actual_worth,property price in the transaction,False,-,number,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,8,procedure_area,The area (size) in suare meter on which the transaction was carried out,False,-,number,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,9,has_parking,"does the unit has a parking ? (0=No, 1=Yes)",False,1,number,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,10,rooms_en,number of room in English,False,200,nvarchar,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,11,rooms_ar,number of rooms in Arabic,False,200,nvarchar,-,Open,Arabic,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,12,nearest_mall_en,the nearest mall to the property of the transaction in English,False,203,nvarchar,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,13,nearest_mall_ar,the nearest mall to the property of the transaction in Arabic,False,202,nvarchar,-,Open,Arabic,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,14,nearest_metro_en,the nearest metro station to the property of the transaction In English,False,201,nvarchar,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,15,nearest_metro_ar,the nearest metro station to the property of the transaction in Arabic,False,200,nvarchar,-,Open,Arabic,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,16,nearest_landmark_en,the nearest landmark to the property of the transaction in English,False,200,nvarchar,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,17,nearest_landmark_ar,the nearest landmark to the property of the transaction in Arabic,False,200,nvarchar,-,Open,Arabic,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,18,master_project_ar,master developer name in English,False,200,nvarchar,-,Open,Arabic,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,19,master_project_en,master developer name in Arabic,False,200,nvarchar,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,20,project_name_en,Developer's project English name,False,200,nvarchar,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,21,project_name_ar,Developer's project Arabic name,False,200,nvarchar,-,Open,Arabic,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,22,project_number,Developer's project number,False,30,number,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,23,building_name_en,Building name in English given by the developer (not nessesarly to similar to common name),False,200,nvarchar,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,24,building_name_ar,Building name in Arabic a given by the developer (not nessesarly to similar to common name),False,200,nvarchar,-,Open,Arabic,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,25,area_name_en,community name in English  as per Dubai Municipality,False,200,nvarchar,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,26,area_name_ar,community name in Arabic as per Dubai Municipality,False,200,nvarchar,-,Open,Arabic,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,27,area_id,Area (community) ID,False,10,number,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,28,reg_type_en,Type of registration (off-plan or existing properties),False,100,nvarchar,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,29,reg_type_ar,Type of registration (off-plan or existing properties)  in Arabic,False,100,nvarchar,-,Open,Arabic,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,30,reg_type_id,Type of registration (off-plan or existing properties),False,1,number,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,31,property_usage_en,"property use based zoning authority's regulations (Residential  , Commercial , Industrial .. Etc)",False,100,nvarchar,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,32,property_usage_ar,"property use based zoning authority's regulations (Residential  , Commercial , Industrial .. Etc) in Arabic",False,100,nvarchar,-,Open,Arabic,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,33,property_sub_type_en,"sub type of the property (ex. For units : apartment , shop , office ..etc)",False,100,nvarchar,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,34,property_sub_type_ar,"sub type of the property (ex. For units : apartment , shop , office ..etc) in Arabic",False,100,nvarchar,-,Open,Arabic,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,35,property_sub_type_id,PROPERTY_SUB_TYPE_ID,False,10,number,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,36,property_type_en,"main type of the property (land , Building , villa or unit)",False,50,nvarchar,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,37,property_type_ar,"main type of the property (land , Building , villa or unit) in Arabic",False,50,nvarchar,-,Open,Arabic,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,38,property_type_id,number generated through the system,False,4,number,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,39,instance_date,Transaction registration data,False,10,date,DD-MM-YYYY,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,40,procedure_name_en,"Sub type of the transaction (pre-registration sale , delayed sale , update mortgage , release mortgage ..etc)",False,200,nvarchar,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,41,procedure_name_ar,"Sub type of the transaction (pre-registration sale , delayed sale , update mortgage , release mortgage ..etc) in Arabic",False,200,nvarchar,-,Open,Arabic,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,42,trans_group_en,"high level group type of the transaction (Sales , Mortgages , Gifts) in Arabic",False,200,nvarchar,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,43,trans_group_ar,"high level group type of the transaction (Sales , Mortgages , Gifts)",False,200,nvarchar,-,Open,Arabic,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,44,trans_group_id,The unique ID of transaction group,False,3,number,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,45,procedure_id,number generated through the system,False,3,number,-,Open,English,False
Real Estate Transactions,Real Estate Transactions/Real_Estate_Transactions_2026-09-04_attribute-details.xlsx,Sheet1,46,transaction_id,A Unique ID of the transaction,True,100,nvarchar,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,1,land_type_en,LAND_TYPE_EN,False,50,varchar2,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,2,land_type_ar,LAND_TYPE_AR,False,50,varchar2,-,Open,Arabic,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,3,land_type_id,Number generated through the system,False,10,number,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,4,project_name_en,PROJECT_NAME_EN,False,200,varchar2,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,5,project_name_ar,PROJECT_NAME_AR,False,200,varchar2,-,Open,Arabic,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,6,project_id,PROJECT_ID,False,10,number,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,7,master_project_ar,MASTER_PROJECT_AR,False,250,nvarchar,-,Open,Arabic,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,8,master_project_en,MASTER_PROJECT_EN,False,250,nvarchar,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,9,master_project_id,Number generated through the system,False,10,number,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,10,pre_registration_number,PRE_REGISTRATION_NUMBER,False,100,nvarchar,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,11,is_registered,IS_REGISTERED,False,20,number,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,12,is_lease_hold,IS_LEASE_HOLD,False,16,number,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,13,is_free_hold,IS_FREE_HOLD,False,16,number,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,14,parcel_id,PARCEL_ID,False,20,number,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,15,munc_number,MUNC_NUMBER,False,10,nvarchar,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,16,munc_zip_code,MUNC_ZIP_CODE,False,3,varchar2,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,17,creation_date,CREATION_DATE,False,6,time,DD-MM-YYYY,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,18,grandparent_property_id,Number generated through the system,False,10,number,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,19,parent_property_id,Number generated through the system,False,10,number,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,20,property_sub_type_en,PROPERTY_SUB_TYPE_EN,False,50,nvarchar,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,21,property_sub_type_ar,PROPERTY_SUB_TYPE_AR,False,50,nvarchar,-,Open,Arabic,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,22,property_sub_type_id,Number generated through the system,False,32,number,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,23,property_type_en,PROPERTY_TYPE_EN,False,50,nvarchar,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,24,property_type_ar,PROPERTY_TYPE_AR,False,50,nvarchar,-,Open,Arabic,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,25,property_type_id,Number generated through the system,False,32,number,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,26,actual_area,ACTUAL_AREA,False,-,number,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,27,rooms_en,ROOMS_EN,False,60,varchar2,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,28,rooms_ar,ROOMS_AR,False,60,varchar2,-,Open,Arabic,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,29,rooms,ROOMS,False,10,number,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,30,floor,FLOOR,False,40,nvarchar,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,31,actual_common_area,ACTUAL_COMMON_AREA,False,20,number,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,32,common_area,COMMON_AREA,False,-,number,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,33,parking_allocation_type_en,PARKING_TYPE_EN,False,100,varchar2,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,34,parking_allocation_type_ar,PARKING_TYPE_AR,False,100,varchar2,-,Open,Arabic,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,35,parking_allocation_type,PARKING_TYPE_ID,False,20,number,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,36,unit_parking_number,UNIT_PARKING_NUMBER,False,1000,nvarchar,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,37,unit_balcony_area,UNIT_BALCONY_AREA,False,-,number,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,38,unit_number,UNIT_NUMBER,False,100,nvarchar,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,39,building_number,BUILDING_NUMBER,False,100,nvarchar,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,40,land_sub_number,LAND_SUB_NUMBER,False,20,number,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,41,land_number,LAND_NUMBER,False,100,nvarchar,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,42,area_name_en,AREA_NAME_EN,False,200,nvarchar,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,43,area_name_ar,AREA_NAME_AR,False,200,nvarchar,-,Open,Arabic,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,44,zone_id,Number generated through the system,False,32,number,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,45,area_id,Number generated through the system,False,10,number,-,Open,English,False
Registered Freehold Real Estate Units,Registered Freehold Real Estate Units/Registered_Freehold_Real_Estate_Units_2026-09-04_attribute-details.xlsx,Sheet1,46,property_id,Number generated through the system,False,10,number,-,Open,English,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,1,tenant_type_en,Tenant Type In English,False,50,nvarchar,-,Open,English,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,2,tenant_type_ar,Tenant Type In Arabic,False,50,nvarchar,-,Open,Arabic,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,3,tenant_type_id,"Tenant Type (1= Person , 2 = Company/Authority)",False,2,number,-,Open,English,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,4,nearest_mall_en,the nearest mall to the property of the transaction in English,False,200,nvarchar,-,Open,English,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,5,nearest_mall_ar,the nearest mall to the property of the transaction in English,False,200,nvarchar,-,Open,Arabic,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,6,nearest_metro_en,the nearest metro station to the property of the transaction in Arabic,False,200,nvarchar,-,Open,English,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,7,nearest_metro_ar,the nearest metro station to the property of the transaction in Arabic,False,200,nvarchar,-,Open,Arabic,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,8,nearest_landmark_en,the nearest landmark to the property of the transaction in Engish,False,200,nvarchar,-,Open,English,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,9,nearest_landmark_ar,the nearest landmark to the property of the transaction in Arabic,False,200,nvarchar,-,Open,Arabic,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,10,actual_area,property current area (size),False,18,number,-,Open,English,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,11,area_name_en,community name inArabic  as per Dubai Municipality,False,200,nvarchar,-,Open,Arabic,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,12,area_name_ar,community name in English  as per Dubai Municipality,False,200,nvarchar,-,Open,English,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,13,area_id,Area (Community) ID,False,10,number,-,Open,English,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,14,master_project_en,master developer name in English,False,250,nvarchar,-,Open,English,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,15,master_project_ar,master developer name in Arabic,False,250,nvarchar,-,Open,Arabic,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,16,project_name_en,Developer's project English name,False,200,nvarchar,-,Open,English,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,17,project_name_ar,Developer's project Arabic name,False,200,nvarchar,-,Open,Arabic,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,18,project_number,Developer's project number,False,38,number,-,Open,English,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,19,property_usage_ar,"property use based zoning authority's regulations (Residential  , Commercial , Industrial .. Etc) in Arabic",False,200,nvarchar,-,Open,Arabic,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,20,property_usage_en,"property use based zoning authority's regulations (Residential  , Commercial , Industrial .. Etc)",False,200,nvarchar,-,Open,English,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,21,ejari_property_sub_type_ar,low level division on property's type ( number of rooms ) in Arabic,False,50,nvarchar,-,Open,Arabic,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,22,ejari_property_sub_type_en,low level division on property's type ID ( number of rooms ),False,50,nvarchar,-,Open,English,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,23,ejari_property_sub_type_id,low level division on property's type ID ( number of rooms ),False,10,number,-,Open,English,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,24,ejari_property_type_ar,proeprty sub type name in Arabic,False,50,nvarchar,-,Open,Arabic,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,25,ejari_property_type_en,property sub type name in English,False,50,nvarchar,-,Open,English,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,26,ejari_property_type_id,"property sub type (e.g. in case of untis : shop , apartment, office ..etc)",False,10,number,-,Open,English,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,27,ejari_bus_property_type_en,property type name in English,False,100,nvarchar,-,Open,English,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,28,ejari_bus_property_type_ar,property type name in Arabic,False,100,nvarchar,-,Open,Arabic,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,29,ejari_bus_property_type_id,"property type (0= Land , 1 = Building , 2 = Unit ..etc)",False,10,number,-,Open,English,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,30,is_free_hold,"is the property free hold ? 1= Yes ,0 = No",False,1,number,-,Open,English,False
Rent Contracts,Rent Contracts/Rent_Contracts_2026-09-04_attribute-details.xlsx,Sheet1,31,line_number,serial number of contract's properties,True,4,number,-,Open,English,False
