dataset,english_field,arabic_field,both_present,english_only,arabic_only,both_missing,identical_non_null,arabic_script_in_english,no_arabic_script_in_arabic
Registered Freehold Real Estate Units,project_name_en,project_name_ar,852363,0,0,1522363,4648,0,4847
Registered Freehold Real Estate Units,property_sub_type_en,property_sub_type_ar,1249892,0,0,1124834,0,0,0
Registered Freehold Real Estate Units,property_type_en,property_type_ar,2109145,0,0,265581,0,0,0
Registered Freehold Real Estate Units,rooms_en,rooms_ar,2082179,0,0,292547,18457,0,18457
Rent Contracts,area_name_en,area_name_ar,10442924,0,0,3,0,0,0
Rent Contracts,contract_reg_type_en,contract_reg_type_ar,10442927,0,0,0,0,0,0
Rent Contracts,ejari_bus_property_type_en,ejari_bus_property_type_ar,10439352,0,0,3575,0,0,0
Rent Contracts,ejari_property_sub_type_en,ejari_property_sub_type_ar,10367115,0,0,75812,64565,0,64565
Rent Contracts,ejari_property_type_en,ejari_property_type_ar,10374686,0,0,68241,0,0,0
Rent Contracts,master_project_en,master_project_ar,3450357,31,0,6992539,0,0,0
Rent Contracts,nearest_landmark_en,nearest_landmark_ar,9715698,0,0,727229,0,0,0
Rent Contracts,nearest_mall_en,nearest_mall_ar,9191942,0,0,1250985,0,0,0
Rent Contracts,nearest_metro_en,nearest_metro_ar,9287587,0,0,1155340,0,0,0
Rent Contracts,project_name_en,project_name_ar,1612499,0,0,8830428,8366,0,11593
Rent Contracts,property_usage_en,property_usage_ar,10427813,0,0,15114,0,0,0
Rent Contracts,tenant_type_en,tenant_type_ar,10040973,0,0,401954,0,0,0
